kernel,M,N,K,latency_us,tflops,cublas_ratio
reg_vec,1,4096,4096,807.794128,0.041538346,0.16732317
wmma_block,1,4096,4096,467.414429,0.0717873261,0.289170949
wmma_async,1,4096,4096,307.950958,0.10896031,0.438909737
mma_ptx,1,4096,4096,157.70668,0.212764811,0.857051037
dispatch,1,4096,4096,157.83252,0.212595174,0.856367714
cublas,1,4096,4096,135.162674,0.248252206,1
reg_vec,2,4096,4096,836.676331,0.0802088712,0.152286375
wmma_block,2,4096,4096,469.275726,0.143005189,0.271512884
wmma_async,2,4096,4096,308.22403,0.217727554,0.413382454
mma_ptx,2,4096,4096,157.83252,0.425190349,0.807276005
dispatch,2,4096,4096,158.316803,0.423889712,0.804806587
cublas,2,4096,4096,127.414406,0.526697618,1
reg_vec,4,4096,4096,756.428772,0.177436043,0.163966266
wmma_block,4,4096,4096,480.461853,0.279351476,0.25814495
wmma_async,4,4096,4096,293.034668,0.458026789,0.423256408
mma_ptx,4,4096,4096,151.352539,0.886788744,0.819469576
dispatch,4,4096,4096,151.688522,0.884824547,0.817654487
cublas,4,4096,4096,124.028801,1.08214969,1
reg_vec,8,4096,4096,758.34021,0.353977611,0.187056939
wmma_block,8,4096,4096,454.758392,0.590281478,0.311930029
wmma_async,8,4096,4096,293.614929,0.914243212,0.483125292
mma_ptx,8,4096,4096,152.610123,1.75896232,0.92951107
dispatch,8,4096,4096,152.547195,1.75968791,0.929894503
cublas,8,4096,4096,141.852798,1.89235221,1
reg_vec,16,4096,4096,781.619202,0.686870168,0.17930913
wmma_block,16,4096,4096,459.037903,1.16955682,0.305315657
wmma_async,16,4096,4096,288.665619,1.8598367,0.485514899
mma_ptx,16,4096,4096,153.162659,3.50523369,0.91504979
dispatch,16,4096,4096,152.985611,3.50929024,0.916108763
cublas,16,4096,4096,140.151459,3.83064805,1
reg_vec,32,4096,4096,761.378174,1.41026084,0.211467748
wmma_block,32,4096,4096,473.577606,2.26729856,0.339980027
wmma_async,32,4096,4096,311.842133,3.44322243,0.516309089
mma_ptx,32,4096,4096,158.958939,6.75483765,1.01288376
dispatch,32,4096,4096,158.685852,6.76646223,1.01462686
cublas,32,4096,4096,161.006927,6.66891693,1
reg_vec,64,4096,4096,777.181885,2.7631674,0.177915953
wmma_block,64,4096,4096,488.550415,4.39562342,0.2830272
wmma_async,64,4096,4096,306.523743,7.00592923,0.451100638
mma_ptx,64,4096,4096,308.80426,6.95419048,0.447769263
dispatch,64,4096,4096,306.4245,7.00819827,0.451246739
cublas,64,4096,4096,138.273056,15.5307455,1
reg_vec,128,4096,4096,1255.66284,3.42047814,0.169190212
wmma_block,128,4096,4096,917.538147,4.68096864,0.231538997
wmma_async,128,4096,4096,499.529602,8.59802358,0.425291836
mma_ptx,128,4096,4096,655.121033,6.55599054,0.324284905
dispatch,128,4096,4096,503.432526,8.53136632,0.421994708
cublas,128,4096,4096,212.445862,20.2167614,1
reg_vec,512,4096,4096,4434.19287,3.87440729,0.152606553
wmma_block,512,4096,4096,3316.63354,5.17991178,0.204028235
wmma_async,512,4096,4096,1859.37915,9.23957289,0.363931633
mma_ptx,512,4096,4096,2321.3396,7.40084268,0.291507063
dispatch,512,4096,4096,1839.95728,9.33710223,0.367773154
cublas,512,4096,4096,676.68689,25.3882105,1
reg_vec,1024,4096,4096,8569.58301,4.00949945,0.16714199
wmma_block,1024,4096,4096,6349.42432,5.41147302,0.225585358
wmma_async,1024,4096,4096,3665.10083,9.37484123,0.390804298
mma_ptx,1024,4096,4096,4728.28613,7.26684837,0.302929459
dispatch,1024,4096,4096,3700.05347,9.28628158,0.387112557
cublas,1024,4096,4096,1432.33716,23.9885827,1
reg_vec,2048,4096,4096,17142.8867,4.00862923,0.156787795
wmma_block,2048,4096,4096,12746.7861,5.39112181,0.210860634
wmma_async,2048,4096,4096,7310.84814,9.39965861,0.367644815
mma_ptx,2048,4096,4096,9290.71777,7.39657348,0.289299005
dispatch,2048,4096,4096,7335.69678,9.3678186,0.36639947
cublas,2048,4096,4096,2687.79541,25.5672275,1
reg_vec,4096,4096,4096,34407.0898,3.99449515,0.151346116
wmma_block,4096,4096,4096,25263.207,5.44028133,0.206125033
wmma_async,4096,4096,4096,14744.0645,9.32164627,0.353184796
mma_ptx,4096,4096,4096,18482.2461,7.43626899,0.281750355
dispatch,4096,4096,4096,14694.707,9.35295635,0.354371093
cublas,4096,4096,4096,5207.37939,26.3931131,1
reg_vec,8192,4096,4096,68808.0234,3.99485254,0.150677079
wmma_block,8192,4096,4096,51814.2305,5.3050659,0.200095454
wmma_async,8192,4096,4096,29495.3066,9.31937784,0.3515065
mma_ptx,8192,4096,4096,37538.9844,7.32246521,0.276187333
dispatch,8192,4096,4096,29672.0723,9.26385945,0.349412468
cublas,8192,4096,4096,10367.792,26.5126757,1
